序号,发震日期（北京时间）,经度(°),纬度(°),震源深度(Km),震级类型,震级,震中位置,事件类型
467,2013-2-19 10:47:00,103.10,27.10,10,Ms,4.9,云南巧家,天然地震
468,2013-2-07 22:57:19,104.13,28.05,10,Ms,4.2,云南盐津,天然地震
469,2012-12-30 06:51:23,99.97,25.12,10,ML,3.2,云南巍山,天然地震
470,2012-12-18 01:51:28,99.60,23.90,5,ML,3.2,云南耿马,天然地震
471,2012-12-09 23:23:19,103.98,27.49,7,ML,3.1,云南彝良,天然地震
472,2012-11-15 20:52:18,100.31,27.33,6,ML,3.1,云南玉龙,天然地震
473,2012-11-10 03:54:27,102.39,25.35,4,ML,3.3,云南富民,天然地震
474,2012-10-15 07:07:59,101.90,25.15,10,Ms,4.4,云南禄丰,天然地震
475,2012-9-18 17:37:48,103.98,27.50,10,ML,3.2,云南彝良,天然地震
476,2012-9-18 07:28:34,100.08,23.34,14,Ms,4.2,云南景谷,天然地震
477,2012-9-16 02:25:51,99.98,25.10,5,ML,3.2,云南昌宁,天然地震
478,2012-9-13 05:15:02,103.99,27.55,6,ML,3.1,云南彝良,天然地震
479,2012-9-11 11:21:20,99.18,24.66,14,Ms,4.9,云南施甸,天然地震
480,2012-9-11 11:20:16,99.18,24.67,8,Ms,4.5,云南施甸,天然地震
481,2012-9-08 19:47:27,104.00,27.56,6,ML,3.1,云南彝良,天然地震
482,2012-9-07 13:12:46,104.00,27.54,14,Ms,4.4,云南彝良,天然地震
483,2012-9-07 12:16:30,104.03,27.56,14,Ms,5.6,云南彝良,天然地震
484,2012-9-07 12:06:01,103.98,27.51,9,ML,3.2,云南彝良,天然地震
485,2012-9-07 11:58:00,104.01,27.58,9,Ms,4.4,云南彝良,天然地震
486,2012-9-07 11:19:41,103.97,27.51,14,Ms,5.7,云南彝良,天然地震
487,2012-8-22 19:04:18,100.10,27.62,6,ML,3.1,云南香格里拉,天然地震
488,2012-7-30 00:05:32,101.22,23.08,10,Ms,4.2,云南宁洱,天然地震
489,2012-7-27 07:59:53,99.99,25.61,6,ML,3.3,云南漾濞,天然地震
490,2012-6-26 14:21:15,100.68,27.80,6,ML,3.3,云南宁蒗,天然地震
491,2012-6-24 15:59:33,100.69,27.71,11,Ms,5.7,云南宁蒗,天然地震
492,2012-6-12 21:40:39,104.28,28.10,9,Ms,4.5,云南盐津,天然地震
493,2012-5-15 01:57:10,100.37,22.65,7,ML,3.3,云南澜沧,天然地震
494,2012-2-22 20:36:47,102.44,24.27,7,ML,3.1,云南红塔,天然地震
495,2011-12-28 13:48:36,100.56,22.06,6,ML,3.2,云南勐海,天然地震
496,2011-12-10 07:11:20,99.23,24.88,6,ML,3.1,云南施甸,天然地震
497,2011-12-06 04:37:46,103.19,27.37,5,Ms,4.0,云南巧家,天然地震
498,2011-11-02 19:33:05,100.80,22.14,8,ML,3.1,云南景洪,天然地震
499,2011-10-16 11:54:43,100.73,26.59,7,ML,3.5,云南永胜,天然地震
500,2011-10-16 11:53:30,100.74,26.59,7,ML,3.2,云南永胜,天然地震
501,2011-10-07 06:24:05,99.10,24.74,7,ML,3.0,云南施甸,天然地震
502,2011-9-24 05:38:32,98.17,24.35,6,ML,3.7,云南芒市,天然地震
503,2011-9-11 11:27:46,97.96,24.75,4,ML,3.2,云南盈江,天然地震
504,2011-9-06 14:18:51,97.96,24.74,10,ML,3.1,云南盈江,天然地震
505,2011-8-31 00:23:50,97.98,24.73,10,Ms,4.3,云南盈江,天然地震
506,2011-8-09 20:18:21,98.67,25.05,6,ML,3.1,云南腾冲,天然地震
507,2011-8-09 19:50:17,98.70,25.00,11,Ms,5.2,云南腾冲,天然地震
508,2011-6-25 19:30:10,98.67,25.06,7,ML,3.5,云南腾冲,天然地震
509,2011-6-22 09:42:07,99.98,25.61,6,ML,3.7,云南漾濞,天然地震
510,2011-6-20 18:16:49,98.69,25.05,10,Ms,5.3,云南腾冲,天然地震
511,2011-6-15 02:02:45,98.65,25.05,6,ML,3.1,云南腾冲,天然地震
512,2011-5-31 21:13:37,98.70,25.04,11,Ms,4.5,云南腾冲,天然地震
513,2011-5-28 18:07:36,97.87,24.74,7,ML,3.2,云南盈江,天然地震
514,2011-5-28 06:46:40,98.65,25.06,7,ML,3.2,云南腾冲,天然地震
515,2011-5-25 05:32:32,98.67,25.04,6,ML,3.0,云南腾冲,天然地震
516,2011-5-22 04:31:17,103.64,22.91,7,Ms,4.0,云南河口,天然地震
517,2011-4-25 09:46:40,101.92,25.41,7,ML,3.4,云南禄丰,天然地震
518,2011-4-01 06:54:27,97.85,24.72,6,ML,3.5,云南盈江,天然地震
519,2011-3-25 07:29:09,98.92,24.98,5,ML,3.4,云南隆阳,天然地震
520,2011-3-10 20:42:04,97.97,24.72,9,ML,3.0,云南盈江,天然地震
521,2011-3-10 20:41:37,97.98,24.74,7,Ms,4.3,云南盈江,天然地震
522,2011-3-10 20:40:01,97.91,24.76,6,ML,3.4,云南盈江,天然地震
523,2011-3-10 15:33:30,97.86,24.68,6,ML,3.0,云南盈江,天然地震
524,2011-3-10 13:04:50,97.84,24.69,5,ML,3.9,云南盈江,天然地震
525,2011-3-10 13:03:56,97.87,24.71,6,ML,3.9,云南盈江,天然地震
526,2011-3-10 12:58:12,97.95,24.65,10,Ms,5.9,云南盈江,天然地震
527,2011-2-13 12:51:39,97.88,24.74,6,ML,3.3,云南盈江,天然地震
528,2011-2-12 13:44:15,103.01,27.14,12,Ms,4.5,云南巧家,天然地震
529,2011-2-09 05:49:05,97.84,24.73,5,ML,3.2,云南盈江,天然地震
530,2011-2-08 02:47:09,97.91,24.77,7,ML,3.3,云南盈江,天然地震
531,2011-2-05 15:54:20,97.89,24.73,5,ML,3.4,云南盈江,天然地震
532,2011-2-01 15:11:20,97.90,24.70,10,Ms,4.9,云南盈江,天然地震
533,2011-1-23 23:46:19,101.60,23.08,6,ML,3.5,云南墨江,天然地震
534,2011-1-15 02:12:06,97.89,24.75,6,ML,3.0,云南盈江,天然地震
535,2011-1-14 22:50:36,97.94,24.73,5,Ms,4.2,云南盈江,天然地震
536,2011-1-02 07:44:33,97.91,24.71,10,Ms,4.0,云南盈江,天然地震
537,2011-1-02 07:33:38,97.91,24.71,32,Ms,4.8,云南盈江,天然地震
538,2011-1-01 20:58:12,97.86,24.73,6,ML,3.1,云南盈江,天然地震
539,2011-1-01 15:32:00,97.92,24.72,10,Ms,4.5,云南盈江,天然地震
540,2010-12-03 22:30:55,102.99,27.12,9,Ms,4.3,云南巧家,天然地震
541,2010-10-18 05:49:38,104.11,28.06,11,Ms,4.7,云南盐津,天然地震
542,2010-10-09 16:26:06,98.32,24.95,6,ML,3.1,云南梁河,天然地震
543,2010-9-30 05:51:19,102.03,23.73,7,ML,3.1,云南元江,天然地震
544,2010-9-22 19:19:29,102.98,27.13,8,Ms,4.2,云南巧家,天然地震
545,2010-8-29 08:53:26,103.02,27.13,10,Ms,4.9,云南巧家,天然地震
546,2010-8-28 04:14:48,99.24,24.89,6,ML,3.2,云南施甸,天然地震
547,2010-7-10 04:41:02,103.11,23.61,5,ML,3.2,云南建水,天然地震
548,2010-6-26 10:37:39,99.46,23.47,7,ML,3.2,云南耿马,天然地震
549,2010-6-22 19:34:36,100.37,25.26,6,ML,3.1,云南巍山,天然地震
550,2010-6-20 17:18:47,101.74,21.31,7,ML,3.3,云南勐腊,天然地震
551,2010-6-06 11:12:28,99.22,24.90,9,Ms,4.1,云南施甸,天然地震
552,2010-6-06 11:09:57,99.22,24.90,6,ML,3.4,云南施甸,天然地震
553,2010-6-06 11:08:52,99.20,24.90,11,Ms,4.1,云南施甸,天然地震
554,2010-6-06 11:04:00,99.23,24.92,11,Ms,4.1,云南隆阳,天然地震
555,2010-6-02 01:22:36,99.21,24.88,5,ML,3.3,云南施甸,天然地震
556,2010-6-02 00:00:53,99.24,24.90,5,ML,3.1,云南隆阳,天然地震
557,2010-6-01 23:58:07,99.21,24.85,5,Ms,4.8,云南施甸,天然地震
558,2010-5-28 22:53:35,100.75,22.57,7,ML,3.5,云南思茅,天然地震
559,2010-5-23 22:26:14,101.71,21.31,5,ML,3.1,云南勐腊,天然地震
560,2010-5-12 03:45:06,101.70,21.30,4,ML,3.4,云南勐腊,天然地震
561,2010-5-11 01:49:22,103.61,26.07,4,ML,3.2,云南沾益,天然地震
562,2010-4-29 12:51:14,101.93,25.13,6,ML,3.3,云南禄丰,天然地震
563,2010-4-25 10:31:18,103.81,27.91,7,ML,3.1,云南大关,天然地震
564,2010-4-03 22:51:48,99.94,27.72,9,ML,3.1,云南香格里拉,天然地震
565,2010-4-03 13:04:55,98.33,24.95,11,Ms,4.0,云南腾冲,天然地震
566,2010-4-03 04:26:31,100.23,22.39,10,Ms,4.1,云南澜沧,天然地震
567,2010-4-02 07:27:25,98.30,24.99,5,ML,3.1,云南腾冲,天然地震
568,2010-4-02 01:27:24,98.35,24.96,11,Ms,4.3,云南腾冲,天然地震
569,2010-4-01 00:52:35,98.31,24.98,6,ML,3.3,云南腾冲,天然地震
570,2010-2-25 12:56:51,101.94,25.42,20,Ms,5.2,云南元谋,天然地震
571,2010-2-21 16:23:17,102.29,25.75,7,ML,3.5,云南武定,天然地震
572,2010-2-17 05:28:04,100.55,24.77,5,ML,3.1,云南南涧,天然地震
573,2010-1-12 05:00:43,97.89,25.03,6,ML,3.3,云南盈江,天然地震
574,2010-1-01 10:08:20,99.80,26.20,10,Ms,4.6,云南洱源,天然地震
