101.67,22.35,0.441
101.65,22.36,0.297
101.70,22.32,0.27
101.71,22.31,0.378
101.66,22.35,0.306
101.76,22.27,0.369
101.65,22.35,0.279
101.70,22.32,0.297
101.74,22.34,0.351
101.68,22.34,0.576
101.65,22.37,0.279
102.21,26.07,0.288
102.84,27.10,0.288
101.94,27.35,0.279
105.11,28.16,0.333
105.11,28.15,0.387
104.93,28.39,0.387
104.79,28.45,0.405
101.68,22.34,0.279
104.77,28.15,0.27
104.75,28.14,0.414
101.66,22.35,0.288
101.68,22.32,0.414
101.68,22.32,0.432
105.09,28.08,0.387
100.01,25.72,0.297
102.91,26.92,0.288
104.83,28.46,0.27
105.09,28.09,0.288
100.00,25.72,0.297
102.97,26.41,0.279
100.78,21.55,0.306
104.87,28.11,0.423
102.83,26.47,0.27
105.10,28.10,0.333
105.31,27.13,0.405
99.87,25.70,0.306
103.08,27.42,0.324
100.49,25.80,0.288
104.99,28.05,0.378
99.99,25.73,0.306
101.89,24.31,0.405
102.97,27.96,0.279
100.31,22.68,0.324
101.90,24.34,0.387
97.14,26.72,0.414
97.89,24.97,0.459
105.84,25.25,0.279
101.91,24.36,0.306
101.89,24.36,0.324
101.92,24.35,0.477
104.80,28.20,0.288
99.98,25.59,0.306
99.92,25.54,0.306
99.88,25.69,0.306
99.92,25.76,0.36
100.01,25.57,0.27
99.94,25.59,0.288
99.92,25.60,0.423
99.91,25.66,0.297
99.89,25.70,0.378
99.90,25.68,0.288
99.93,25.62,0.315
99.92,25.63,0.378
99.89,25.68,0.324
99.96,25.61,0.297
105.28,28.20,0.288
99.95,25.62,0.324
99.90,25.62,0.297
99.91,25.63,0.288
99.88,25.61,0.378
99.98,25.59,0.405
99.99,25.60,0.27
99.95,25.62,0.306
99.98,25.60,0.27
99.94,25.63,0.315
99.97,25.61,0.468
99.89,25.67,0.288
99.95,25.60,0.288
99.98,25.59,0.333
99.96,25.58,0.324
99.89,25.68,0.297
99.95,25.62,0.414
99.89,25.67,0.45
99.98,25.60,0.306
99.93,25.64,0.279
99.88,25.70,0.585
99.99,25.64,0.288
99.98,25.60,0.333
99.96,25.63,0.378
99.92,25.65,0.504
99.91,25.61,0.387
104.77,28.45,0.279
99.90,25.66,0.288
99.90,25.67,0.297
99.91,25.65,0.414
99.92,25.63,0.279
99.92,25.64,0.378
99.93,25.63,0.27
99.94,25.64,0.288
99.25,24.41,0.423
99.25,24.42,0.297
100.27,22.62,0.27
104.98,28.15,0.279
99.98,26.14,0.288
102.38,23.82,0.297
104.79,28.14,0.279
100.83,23.31,0.27
99.99,25.99,0.315
98.42,25.54,0.27
98.69,24.60,0.27
101.57,23.02,0.288
104.82,28.11,0.387
104.18,28.18,0.432
105.04,28.10,0.333
99.36,24.33,0.378
99.92,25.63,0.288
99.27,24.93,0.27
103.28,27.12,0.27
104.95,28.36,0.27
99.18,24.98,0.288
98.47,24.52,0.315
104.72,28.18,0.387
104.74,28.19,0.324
103.93,27.14,0.288
104.73,28.19,0.297
104.16,28.08,0.306
105.08,28.09,0.342
105.47,26.20,0.369
104.80,28.45,0.306
99.83,22.38,0.306
103.10,27.12,0.342
105.04,28.39,0.279
99.23,21.97,0.288
97.56,25.19,0.342
104.82,28.20,0.279
104.74,28.15,0.27
105.07,28.19,0.279
105.07,28.16,0.333
104.87,28.41,0.342
101.60,23.40,0.306
99.19,24.96,0.342
104.95,28.39,0.306
104.80,21.02,0.495
104.76,28.15,0.297
99.98,27.74,0.279
99.83,22.39,0.36
99.81,22.37,0.27
97.14,21.51,0.369
99.54,25.19,0.306
102.52,22.86,0.396
103.15,25.99,0.378
100.68,28.31,0.279
104.89,28.34,0.297
104.67,27.13,0.405
104.75,28.16,0.333
101.93,22.61,0.288
104.75,28.15,0.324
102.72,22.64,0.432
97.12,26.75,0.396
104.73,28.18,0.36
98.43,23.83,0.27
104.74,28.15,0.288
98.36,23.43,0.36
104.74,28.15,0.288
104.76,28.16,0.279
